timestamp,battery_id,chemistry,cycle_count,voltage_drop_V,current_draw_A,impedance_1Hz_ohm,impedance_10Hz_ohm,impedance_100Hz_ohm,phase_1Hz_deg,phase_10Hz_deg,temp_start_C,temp_end_C,internal_resistance_ohm,total_run_hours,voltage_per_current,temp_delta,charge_duration_h,energy_wh,is_charging,stability_status,remaining_cycles
2023-01-04 15:37:45.155051683,BATT_011,Li-ion,669,0.146,4.715,0.244,0.35,0.253,13.6,44.0,25.6,20.6,0.282,688,0.031,-5.0,0.62,0.43,False,stable,353
2023-01-05 00:23:31.670556852,BATT_012,Li-ion,314,0.098,3.854,1.563,0.269,0.114,37.3,47.3,21.6,29.4,0.649,319,0.025,7.8,1.88,0.71,True,unstable,667
2023-01-05 09:09:18.186062020,BATT_013,NMC 811,837,0.344,3.552,0.939,0.583,0.404,47.5,79.8,30.0,32.8,0.642,844,0.097,2.8,3.87,4.73,True,unstable,156
2023-01-05 17:55:04.701567189,BATT_014,Li-ion,196,0.353,2.968,0.996,0.749,0.216,20.4,-35.7,29.2,23.6,0.654,207,0.119,-5.6,0.8,0.84,False,unstable,808
2023-01-06 02:40:51.217072357,BATT_015,Li-ion,213,0.195,0.888,0.737,0.176,0.366,28.3,-61.5,25.9,33.3,0.426,214,0.22,7.4,1.88,0.33,True,stable,782
2023-01-06 11:26:37.732577525,BATT_016,Li-ion,738,0.494,1.2,0.806,0.369,0.398,80.7,75.9,22.4,33.6,0.524,743,0.412,11.2,3.73,2.21,True,stable,302
2023-01-06 20:12:24.248082694,BATT_017,Li-ion,147,0.121,2.095,0.746,0.503,0.494,49.6,-89.9,20.6,28.0,0.581,151,0.058,7.4,4.32,1.1,True,stable,855
2023-01-07 04:58:10.763587862,BATT_018,LiFePO4,173,0.136,3.152,1.731,0.05,0.296,85.7,-60.1,25.3,22.2,0.692,184,0.043,-3.1,3.15,1.35,True,unstable,800
2023-01-07 13:43:57.279093031,BATT_019,NMC 811,644,0.25,2.973,1.0,0.759,0.496,-57.6,22.2,28.1,26.6,0.752,652,0.084,-1.5,1.82,1.35,True,unstable,335
2023-01-07 22:29:43.794598199,BATT_020,Li-ion,324,0.314,3.843,0.176,0.824,0.018,-4.2,87.4,28.2,23.5,0.339,343,0.082,-4.7,4.96,5.99,True,stable,682
2023-01-08 07:15:30.310103367,BATT_021,Li-ion,211,0.431,1.963,0.981,0.347,0.208,29.3,1.2,20.1,29.5,0.512,222,0.22,9.4,5.0,4.23,True,stable,780
2023-01-08 16:01:16.825608536,BATT_022,LiFePO4,509,0.473,2.047,1.958,0.667,0.235,-71.3,21.9,28.9,28.5,0.953,510,0.231,-0.4,1.38,1.34,True,unstable,507
2023-01-09 00:47:03.341113704,BATT_023,Li-ion,439,0.058,3.491,1.944,0.099,0.307,-20.2,68.4,28.3,38.8,0.783,456,0.017,10.5,3.82,0.77,True,unstable,560
2023-01-09 09:32:49.856618873,BATT_024,LiFePO4,946,0.453,1.133,1.742,0.127,0.057,68.5,-50.8,24.8,25.8,0.642,950,0.4,1.0,4.44,2.28,True,unstable,31
2023-01-09 18:18:36.372124041,BATT_025,LiFePO4,353,0.201,2.883,1.566,0.127,0.274,76.5,34.9,23.7,22.6,0.656,359,0.07,-1.1,4.05,2.35,True,unstable,647
2023-01-10 03:04:22.887629209,BATT_026,NMC 811,520,0.1,2.394,1.179,0.968,0.248,9.7,83.0,22.9,23.5,0.798,537,0.042,0.6,2.96,0.71,True,unstable,480
2023-01-10 11:50:09.403134378,BATT_027,NMC 811,708,0.197,2.076,1.527,0.438,0.222,40.3,79.9,23.1,36.5,0.729,714,0.095,13.4,2.37,0.97,True,unstable,284
2023-01-10 20:35:55.918639546,BATT_028,NMC 811,308,0.453,2.831,0.447,0.645,0.174,-25.0,11.0,22.0,21.3,0.422,323,0.16,-0.7,1.76,2.26,True,stable,699
2023-01-11 05:21:42.434144715,BATT_029,LiFePO4,168,0.2,1.748,1.805,0.821,0.148,-45.3,-58.7,24.4,29.0,0.925,169,0.114,4.6,3.17,1.11,True,unstable,838
2023-01-11 14:07:28.949649883,BATT_030,NMC 811,917,0.201,1.94,1.236,0.277,0.275,-56.6,-31.6,29.0,35.5,0.596,934,0.104,6.5,2.38,0.93,True,stable,84
2023-01-11 22:53:15.465155051,BATT_031,Li-ion,923,0.326,0.522,1.142,0.379,0.226,-44.3,-67.6,23.2,34.7,0.582,931,0.625,11.5,3.77,0.64,True,stable,70
2023-01-12 07:39:01.980660220,BATT_032,LiFePO4,551,0.352,2.082,1.725,0.673,0.074,49.4,-24.8,21.4,28.3,0.824,558,0.169,6.9,3.52,2.58,True,unstable,473
2023-01-12 16:24:48.496165388,BATT_033,Li-ion,102,0.286,0.508,0.792,0.072,0.058,-36.0,-13.0,30.0,25.9,0.307,103,0.563,-4.1,4.68,0.68,True,stable,889
2023-01-13 01:10:35.011670556,BATT_034,LiFePO4,440,0.494,1.639,0.804,0.108,0.254,-67.0,4.9,27.4,34.1,0.389,440,0.301,6.7,2.62,2.12,True,stable,563
2023-01-13 09:56:21.527175725,BATT_035,Li-ion,139,0.482,2.589,0.509,0.142,0.277,84.2,19.7,24.0,24.1,0.309,150,0.186,0.1,4.89,6.1,True,stable,896
2023-01-13 18:42:08.042680893,BATT_036,LiFePO4,422,0.411,2.081,0.962,0.185,0.346,81.1,43.5,24.0,29.8,0.498,438,0.198,5.8,1.52,1.3,True,stable,517
2023-01-14 03:27:54.558186062,BATT_037,NMC 811,696,0.398,2.874,0.464,0.641,0.395,66.5,83.3,29.0,39.4,0.5,704,0.138,10.4,2.3,2.63,True,stable,289
2023-01-14 12:13:41.073691230,BATT_038,LiFePO4,659,0.117,4.07,0.637,0.528,0.09,45.5,44.9,27.9,35.1,0.418,673,0.029,7.2,3.64,1.73,True,stable,347
2023-01-14 20:59:27.589196398,BATT_039,Li-ion,604,0.091,4.681,1.649,0.445,0.12,-34.9,-48.1,26.8,39.4,0.738,611,0.019,12.6,1.14,0.49,True,unstable,395
2023-01-15 05:45:14.104701567,BATT_040,Li-ion,276,0.486,2.004,1.868,0.847,0.299,-21.3,36.4,21.1,29.8,1.005,290,0.243,8.7,3.69,3.59,True,unstable,687
2023-01-15 14:31:00.620206735,BATT_041,Li-ion,235,0.085,3.825,1.267,0.677,0.223,81.5,80.3,25.7,39.7,0.722,254,0.022,14.0,1.17,0.38,True,unstable,789
2023-01-15 23:16:47.135711904,BATT_042,LiFePO4,973,0.413,3.536,1.364,0.298,0.336,7.0,-51.8,28.3,20.7,0.666,989,0.117,-7.6,1.54,2.25,True,unstable,0
2023-01-16 08:02:33.651217072,BATT_043,Li-ion,199,0.071,1.865,0.456,0.93,0.445,1.1,35.7,23.6,22.7,0.61,214,0.038,-0.9,1.35,0.18,True,unstable,810
2023-01-16 16:48:20.166722240,BATT_044,LiFePO4,480,0.13,3.298,1.294,0.711,0.228,84.8,-71.0,27.8,39.4,0.744,486,0.039,11.6,0.82,0.35,False,unstable,573
2023-01-17 01:34:06.682227409,BATT_045,NMC 811,960,0.238,1.109,1.271,0.192,0.221,32.2,7.4,25.8,29.8,0.561,976,0.215,4.0,1.66,0.44,True,stable,49
2023-01-17 10:19:53.197732577,BATT_046,Li-ion,280,0.487,4.474,1.663,0.184,0.389,-14.5,43.1,28.7,32.0,0.745,280,0.109,3.3,2.84,6.19,True,unstable,728
2023-01-17 19:05:39.713237746,BATT_047,Li-ion,458,0.241,4.646,1.095,0.252,0.233,46.2,33.9,20.4,26.5,0.527,472,0.052,6.1,2.01,2.25,True,stable,539
2023-01-18 03:51:26.228742914,BATT_048,Li-ion,965,0.112,3.462,1.961,0.867,0.062,-12.6,37.1,26.9,26.5,0.963,975,0.032,-0.4,3.89,1.51,True,unstable,48
2023-01-18 12:37:12.744248082,BATT_049,Li-ion,313,0.128,1.461,0.234,0.988,0.456,-30.9,74.9,23.2,29.8,0.559,328,0.088,6.6,3.72,0.7,True,stable,692
2023-01-18 21:22:59.259753251,BATT_050,LiFePO4,730,0.349,3.247,1.554,0.887,0.166,-19.7,-16.0,20.6,31.5,0.869,742,0.107,10.9,2.43,2.75,True,unstable,232
2023-01-19 06:08:45.775258419,BATT_051,LiFePO4,962,0.488,4.056,1.681,0.125,0.295,89.3,60.6,21.1,23.8,0.7,973,0.12,2.7,3.23,6.39,True,unstable,46
2023-01-19 14:54:32.290763588,BATT_052,NMC 811,511,0.078,2.088,1.059,0.681,0.27,58.9,-32.4,25.8,25.9,0.67,515,0.037,0.1,2.26,0.37,True,unstable,518
2023-01-19 23:40:18.806268756,BATT_053,NMC 811,390,0.443,2.775,1.659,0.386,0.328,-24.3,-86.1,27.0,25.2,0.791,407,0.16,-1.8,4.67,5.74,True,unstable,597
2023-01-20 08:26:05.321773924,BATT_054,NMC 811,688,0.287,3.638,0.765,0.545,0.262,76.1,52.3,26.7,22.0,0.524,700,0.079,-4.7,1.33,1.39,True,stable,311
2023-01-20 17:11:51.837279093,BATT_055,Li-ion,780,0.127,4.083,1.936,0.525,0.498,59.6,-31.5,24.9,25.4,0.986,791,0.031,0.5,1.93,1.0,True,unstable,238
2023-01-21 01:57:38.352784261,BATT_056,LiFePO4,999,0.308,2.477,0.588,0.605,0.48,53.9,23.9,22.3,34.1,0.558,1012,0.124,11.8,4.91,3.75,True,stable,20
2023-01-21 10:43:24.868289430,BATT_057,NMC 811,206,0.365,4.614,1.005,0.103,0.055,-51.5,-82.5,20.9,31.3,0.388,221,0.079,10.4,1.19,2.0,True,stable,781
2023-01-21 19:29:11.383794598,BATT_058,NMC 811,937,0.325,4.773,1.72,0.659,0.461,69.5,-82.8,25.2,22.3,0.947,951,0.068,-2.9,2.1,3.26,True,unstable,53
2023-01-22 04:14:57.899299766,BATT_059,NMC 811,676,0.466,3.726,0.188,0.61,0.197,-2.2,-14.6,25.3,38.9,0.332,679,0.125,13.6,2.81,4.88,True,stable,308
2023-01-22 13:00:44.414804935,BATT_060,LiFePO4,943,0.339,0.938,1.829,0.723,0.499,-19.8,35.5,20.4,20.7,1.017,953,0.361,0.3,3.66,1.16,True,unstable,80
2023-01-22 21:46:30.930310103,BATT_061,Li-ion,518,0.239,3.082,0.962,0.784,0.456,26.3,-13.1,26.2,21.2,0.734,528,0.078,-5.0,4.93,3.63,True,unstable,468
2023-01-23 06:32:17.445815271,BATT_062,Li-ion,926,0.182,0.922,1.939,0.538,0.198,-37.2,86.5,25.8,22.9,0.892,929,0.197,-2.9,1.1,0.18,True,unstable,117
2023-01-23 15:18:03.961320440,BATT_063,Li-ion,494,0.226,2.219,0.89,0.743,0.176,58.0,-88.3,28.2,24.6,0.603,508,0.102,-3.6,2.65,1.33,True,unstable,508
2023-01-24 00:03:50.476825608,BATT_064,LiFePO4,890,0.166,4.055,0.423,0.071,0.226,39.9,-35.0,26.0,35.8,0.24,898,0.041,9.8,4.17,2.81,True,stable,91
2023-01-24 08:49:36.992330777,BATT_065,LiFePO4,817,0.243,3.733,0.603,0.271,0.032,47.3,58.7,27.5,25.0,0.302,834,0.065,-2.5,3.6,3.27,True,stable,147
2023-01-24 17:35:23.507835945,BATT_066,LiFePO4,246,0.211,3.013,1.276,0.928,0.395,-71.0,88.3,29.2,22.7,0.866,249,0.07,-6.5,2.6,1.65,True,unstable,753
2023-01-25 02:21:10.023341113,BATT_067,Li-ion,584,0.269,4.503,0.206,0.223,0.231,-86.8,15.5,26.2,27.9,0.22,587,0.06,1.7,0.55,0.67,False,stable,404
2023-01-25 11:06:56.538846282,BATT_068,Li-ion,371,0.079,4.798,0.245,0.24,0.091,4.9,81.7,25.7,29.6,0.192,387,0.016,3.9,1.39,0.53,True,stable,638
2023-01-25 19:52:43.054351450,BATT_069,NMC 811,511,0.453,4.696,0.756,0.134,0.4,57.1,14.0,21.6,37.4,0.43,520,0.096,15.8,3.06,6.51,True,stable,548
2023-01-26 04:38:29.569856619,BATT_070,NMC 811,865,0.431,4.964,0.213,0.217,0.015,-3.7,-59.7,20.4,31.2,0.148,877,0.087,10.8,2.16,4.62,True,stable,114
2023-01-26 13:24:16.085361787,BATT_071,LiFePO4,258,0.308,2.198,1.158,0.902,0.236,-83.4,-71.1,26.5,38.5,0.765,263,0.14,12.0,2.77,1.88,True,unstable,775
2023-01-26 22:10:02.600866955,BATT_072,Li-ion,280,0.46,2.44,1.196,0.321,0.278,-76.1,11.3,24.4,38.3,0.598,295,0.189,13.9,2.35,2.64,True,stable,690
2023-01-27 06:55:49.116372124,BATT_073,NMC 811,682,0.212,3.412,1.68,0.432,0.223,-36.7,-28.3,25.0,25.6,0.778,701,0.062,0.6,1.41,1.02,True,unstable,331
2023-01-27 15:41:35.631877292,BATT_074,Li-ion,465,0.417,1.872,1.765,0.529,0.074,73.8,70.5,24.1,39.4,0.789,473,0.223,15.3,2.54,1.98,True,unstable,552
2023-01-28 00:27:22.147382461,BATT_075,NMC 811,471,0.133,4.732,1.681,0.255,0.125,73.3,-60.0,28.2,33.9,0.687,484,0.028,5.7,3.9,2.45,True,unstable,531
2023-01-28 09:13:08.662887629,BATT_076,Li-ion,254,0.487,1.323,0.378,0.353,0.137,80.4,49.4,21.2,35.1,0.289,256,0.368,13.9,2.95,1.9,True,stable,727
2023-01-28 17:58:55.178392797,BATT_077,Li-ion,820,0.224,2.578,0.687,0.914,0.44,-73.5,19.4,28.7,39.5,0.68,827,0.087,10.8,1.44,0.83,True,unstable,238
2023-01-29 02:44:41.693897966,BATT_078,Li-ion,490,0.315,2.761,0.74,0.429,0.265,31.3,-20.5,26.6,24.3,0.478,496,0.114,-2.3,2.01,1.75,True,stable,512
2023-01-29 11:30:28.209403134,BATT_079,LiFePO4,882,0.14,0.967,0.839,0.284,0.379,-56.8,59.4,20.4,32.9,0.501,893,0.145,12.5,3.62,0.49,True,stable,121
2023-01-29 20:16:14.724908303,BATT_080,LiFePO4,355,0.314,3.966,1.455,0.209,0.239,-16.9,-22.5,25.4,20.1,0.634,361,0.079,-5.3,0.71,0.88,False,unstable,672
2023-01-30 05:02:01.240413471,BATT_081,NMC 811,344,0.149,4.16,0.708,0.387,0.245,89.3,-26.9,24.2,39.6,0.447,346,0.036,15.4,4.35,2.7,True,stable,676
2023-01-30 13:47:47.755918639,BATT_082,NMC 811,459,0.438,3.476,0.599,0.51,0.45,69.7,-39.0,24.4,32.3,0.52,462,0.126,7.9,1.96,2.98,True,stable,531
2023-01-30 22:33:34.271423808,BATT_083,LiFePO4,229,0.46,1.397,0.758,0.38,0.336,-73.0,-32.8,21.5,34.5,0.491,240,0.329,13.0,3.1,1.99,True,stable,790
2023-01-31 07:19:20.786928976,BATT_084,Li-ion,655,0.116,4.965,1.687,0.345,0.029,58.8,77.5,22.3,22.6,0.687,670,0.023,0.3,4.93,2.84,True,unstable,326
2023-01-31 16:05:07.302434145,BATT_085,NMC 811,286,0.284,0.875,1.935,0.627,0.072,-63.0,-52.1,27.3,20.7,0.878,293,0.325,-6.6,4.49,1.12,True,unstable,747
2023-02-01 00:50:53.817939313,BATT_086,Li-ion,457,0.379,3.393,1.548,0.629,0.193,-89.9,-73.6,20.5,31.9,0.79,470,0.112,11.4,3.27,4.21,True,unstable,545
2023-02-01 09:36:40.333444481,BATT_087,LiFePO4,795,0.192,2.033,1.249,0.608,0.35,45.1,53.4,20.1,39.0,0.736,806,0.094,18.9,4.09,1.6,True,unstable,197
2023-02-01 18:22:26.848949650,BATT_088,NMC 811,637,0.236,1.286,0.689,0.943,0.216,16.4,89.8,29.8,38.9,0.616,646,0.184,9.1,3.05,0.93,True,unstable,404
2023-02-02 03:08:13.364454818,BATT_089,NMC 811,534,0.1,1.764,1.757,0.899,0.332,-10.7,-49.2,24.7,32.7,0.996,545,0.057,8.0,3.2,0.56,True,unstable,449
2023-02-02 11:53:59.879959987,BATT_090,NMC 811,924,0.2,1.376,0.934,0.444,0.306,20.3,33.4,22.8,35.8,0.561,926,0.145,13.0,4.7,1.29,True,stable,52
2023-02-02 20:39:46.395465155,BATT_091,Li-ion,405,0.283,0.778,0.72,0.681,0.041,-61.6,-89.6,21.2,22.2,0.481,422,0.364,1.0,2.87,0.63,True,stable,580
2023-02-03 05:25:32.910970323,BATT_092,NMC 811,880,0.387,4.304,1.351,0.375,0.435,7.4,39.6,23.8,35.5,0.72,885,0.09,11.7,2.27,3.78,True,unstable,100
2023-02-03 14:11:19.426475492,BATT_093,LiFePO4,630,0.125,4.928,1.211,0.539,0.039,60.1,73.6,22.5,22.7,0.596,637,0.025,0.2,1.72,1.06,True,stable,343
2023-02-03 22:57:05.941980660,BATT_094,Li-ion,565,0.41,4.209,1.332,0.14,0.015,30.1,61.4,21.5,31.4,0.496,584,0.097,9.9,2.25,3.88,True,stable,477
2023-02-04 07:42:52.457485828,BATT_095,Li-ion,613,0.149,1.623,0.538,0.39,0.209,-79.9,-31.1,26.5,32.6,0.379,619,0.092,6.1,4.55,1.1,True,stable,364
2023-02-04 16:28:38.972990997,BATT_096,Li-ion,151,0.397,3.392,1.903,0.662,0.092,-52.2,-81.2,21.3,22.4,0.886,159,0.117,1.1,1.16,1.56,True,unstable,871
2023-02-05 01:14:25.488496165,BATT_097,Li-ion,985,0.128,1.802,0.7,0.478,0.067,-58.8,-43.5,28.5,38.0,0.415,991,0.071,9.5,3.73,0.86,True,stable,11
2023-02-05 10:00:12.004001334,BATT_098,NMC 811,845,0.375,3.834,0.77,0.243,0.444,58.3,-61.7,28.5,31.7,0.486,846,0.098,3.2,2.24,3.22,True,stable,173
2023-02-05 18:45:58.519506502,BATT_099,LiFePO4,404,0.452,2.359,0.647,0.089,0.098,77.5,-86.4,26.6,21.4,0.278,419,0.192,-5.2,3.1,3.31,True,stable,581
2023-02-06 03:31:45.035011670,BATT_100,NMC 811,156,0.13,2.945,1.015,0.591,0.312,-53.4,20.8,27.6,32.3,0.639,163,0.044,4.7,0.54,0.21,False,unstable,831
2023-02-06 12:17:31.550516839,BATT_101,NMC 811,442,0.354,0.546,1.506,0.691,0.184,-66.4,-5.9,29.4,21.9,0.794,453,0.648,-7.5,2.43,0.47,True,unstable,580
2023-02-06 21:03:18.066022007,BATT_102,Li-ion,615,0.288,1.155,0.411,0.741,0.164,-88.9,22.9,26.6,32.3,0.439,616,0.249,5.7,3.84,1.28,True,stable,356
2023-02-07 05:49:04.581527176,BATT_103,NMC 811,167,0.228,2.846,1.044,0.156,0.472,-88.3,-68.5,29.4,28.1,0.557,186,0.08,-1.3,4.55,2.95,True,stable,820
2023-02-07 14:34:51.097032344,BATT_104,NMC 811,239,0.367,2.369,1.184,0.857,0.016,-60.7,38.5,26.3,30.0,0.686,251,0.155,3.7,0.81,0.7,False,unstable,769
2023-02-07 23:20:37.612537512,BATT_105,NMC 811,761,0.364,1.623,1.178,0.061,0.249,34.5,14.5,29.9,24.2,0.496,778,0.224,-5.7,2.81,1.66,True,stable,253
2023-02-08 08:06:24.128042681,BATT_106,NMC 811,573,0.202,3.194,0.301,0.585,0.124,-76.9,60.8,25.1,21.2,0.337,590,0.063,-3.9,2.7,1.74,True,stable,464
2023-02-08 16:52:10.643547849,BATT_107,NMC 811,715,0.216,4.189,0.187,0.769,0.072,-88.1,-38.5,20.2,22.4,0.343,725,0.052,2.2,1.46,1.32,True,stable,308
2023-02-09 01:37:57.159053018,BATT_108,Li-ion,589,0.396,4.709,0.422,0.329,0.446,-49.5,-63.9,24.7,33.5,0.399,594,0.084,8.8,2.98,5.56,True,stable,401
2023-02-09 10:23:43.674558186,BATT_109,NMC 811,454,0.406,3.591,0.509,0.086,0.209,-66.7,13.2,22.1,21.8,0.268,456,0.113,-0.3,3.17,4.62,True,stable,540
2023-02-09 19:09:30.190063354,BATT_110,NMC 811,103,0.497,1.953,0.499,0.765,0.163,71.7,-41.9,28.3,24.7,0.476,121,0.254,-3.6,2.94,2.85,True,stable,889
2023-02-10 03:55:16.705568523,BATT_111,Li-ion,359,0.473,2.625,1.083,0.525,0.289,53.8,2.0,25.6,23.0,0.632,371,0.18,-2.6,2.21,2.74,True,unstable,631
2023-02-10 12:41:03.221073691,BATT_112,LiFePO4,855,0.47,1.285,1.072,0.893,0.031,-6.1,82.7,26.1,31.7,0.665,861,0.366,5.6,1.28,0.77,True,unstable,171
2023-02-10 21:26:49.736578860,BATT_113,Li-ion,322,0.47,1.721,0.769,0.915,0.404,26.8,23.5,23.6,30.0,0.696,338,0.273,6.4,2.38,1.93,True,unstable,684
2023-02-11 06:12:36.252084028,BATT_114,LiFePO4,362,0.424,3.983,1.46,0.923,0.177,47.3,-8.1,24.0,27.6,0.853,375,0.106,3.6,0.7,1.18,False,unstable,618
2023-02-11 14:58:22.767589196,BATT_115,NMC 811,365,0.349,4.853,1.116,0.994,0.174,-24.7,-74.3,27.7,37.0,0.761,366,0.072,9.3,3.47,5.88,True,unstable,634
2023-02-11 23:44:09.283094365,BATT_116,LiFePO4,187,0.109,3.666,0.671,0.608,0.373,74.3,20.8,28.7,37.0,0.551,206,0.03,8.3,3.32,1.33,True,stable,846
2023-02-12 08:29:55.798599533,BATT_117,LiFePO4,114,0.181,1.857,1.252,0.21,0.403,17.1,-39.5,29.5,28.6,0.622,123,0.097,-0.9,2.71,0.91,True,unstable,898
2023-02-12 17:15:42.314104701,BATT_118,Li-ion,567,0.467,3.299,0.471,0.582,0.407,52.4,11.1,27.7,25.1,0.487,572,0.142,-2.6,4.19,6.46,True,stable,452
2023-02-13 02:01:28.829609870,BATT_119,NMC 811,989,0.487,4.594,1.724,0.086,0.342,55.2,50.8,21.8,21.0,0.717,992,0.106,-0.8,3.58,8.01,True,unstable,21
2023-02-13 10:47:15.345115038,BATT_120,Li-ion,298,0.384,1.424,0.12,0.092,0.326,52.4,-54.1,21.5,32.2,0.179,314,0.27,10.7,4.74,2.59,True,stable,699
2023-02-13 19:33:01.860620207,BATT_121,NMC 811,240,0.078,4.924,0.327,0.556,0.359,81.1,48.4,21.3,27.5,0.414,254,0.016,6.2,2.65,1.02,True,stable,765
2023-02-14 04:18:48.376125375,BATT_122,NMC 811,538,0.434,4.462,1.016,0.633,0.45,4.3,14.8,28.4,39.2,0.7,555,0.097,10.8,1.49,2.89,True,unstable,430
2023-02-14 13:04:34.891630543,BATT_123,NMC 811,639,0.128,3.964,0.504,0.594,0.342,-12.0,12.6,27.3,32.7,0.48,646,0.032,5.4,3.52,1.79,True,stable,363
2023-02-14 21:50:21.407135712,BATT_124,Li-ion,906,0.384,1.346,1.93,0.727,0.302,-62.8,-10.8,21.4,26.9,0.986,917,0.285,5.5,1.51,0.78,True,unstable,98
2023-02-15 06:36:07.922640880,BATT_125,Li-ion,501,0.194,1.544,0.226,0.548,0.15,-69.7,20.6,23.9,30.8,0.308,511,0.126,6.9,3.06,0.92,True,stable,503
2023-02-15 15:21:54.438146049,BATT_126,LiFePO4,978,0.124,3.588,1.911,0.394,0.086,25.3,5.5,20.1,25.2,0.797,989,0.035,5.1,3.51,1.56,True,unstable,16
2023-02-16 00:07:40.953651217,BATT_127,NMC 811,942,0.124,1.446,1.324,0.375,0.381,-38.4,31.4,22.7,21.6,0.693,947,0.086,-1.1,1.74,0.31,True,unstable,41
2023-02-16 08:53:27.469156385,BATT_128,LiFePO4,967,0.106,3.261,1.143,0.726,0.379,-4.6,9.4,23.1,26.6,0.749,975,0.033,3.5,2.72,0.94,True,unstable,45
2023-02-16 17:39:13.984661554,BATT_129,LiFePO4,728,0.499,2.578,0.856,0.364,0.213,-30.3,-1.4,20.2,38.9,0.478,735,0.194,18.7,2.44,3.14,True,stable,255
2023-02-17 02:25:00.500166722,BATT_130,LiFePO4,199,0.283,2.283,1.29,0.102,0.023,-70.1,-6.4,27.7,27.6,0.472,202,0.124,-0.1,2.43,1.57,True,stable,788
2023-02-17 11:10:47.015671891,BATT_131,Li-ion,293,0.236,1.757,1.972,0.261,0.234,-20.9,-27.5,23.7,34.4,0.822,298,0.134,10.7,3.68,1.53,True,unstable,684
2023-02-17 19:56:33.531177059,BATT_132,Li-ion,915,0.143,1.785,1.041,0.81,0.377,-75.3,51.9,28.2,36.1,0.743,920,0.08,7.9,1.25,0.32,True,unstable,74
2023-02-18 04:42:20.046682227,BATT_133,LiFePO4,593,0.238,4.259,1.433,0.535,0.307,21.5,-65.2,26.3,26.6,0.758,603,0.056,0.3,1.7,1.72,True,unstable,407
2023-02-18 13:28:06.562187396,BATT_134,Li-ion,116,0.441,1.561,0.558,0.306,0.207,-69.8,17.4,24.3,34.4,0.357,122,0.283,10.1,1.25,0.86,True,stable,877
2023-02-18 22:13:53.077692564,BATT_135,NMC 811,745,0.121,4.456,1.644,0.604,0.015,-2.0,-56.0,21.4,22.3,0.754,746,0.027,0.9,1.21,0.65,True,unstable,298
2023-02-19 06:59:39.593197732,BATT_136,Li-ion,460,0.277,2.15,1.244,0.384,0.467,0.9,-26.0,24.5,35.4,0.698,475,0.129,10.9,3.14,1.87,True,unstable,582
2023-02-19 15:45:26.108702901,BATT_137,Li-ion,209,0.291,3.061,0.16,0.901,0.182,-61.0,36.2,23.6,32.6,0.414,214,0.095,9.0,1.85,1.65,True,stable,798
2023-02-20 00:31:12.624208069,BATT_138,LiFePO4,186,0.432,3.684,0.784,0.452,0.109,49.7,47.9,26.1,25.1,0.448,188,0.117,-1.0,1.94,3.09,True,stable,800
2023-02-20 09:16:59.139713238,BATT_139,Li-ion,146,0.165,1.189,1.062,0.658,0.154,47.0,89.7,28.6,27.0,0.625,153,0.139,-1.6,2.97,0.58,True,unstable,812
